,,Table B,,,,,,,,,,
436bac1c-97b3-46a9-aff9-4c4ddc9a3c91,Easy Quilts,Peak Media,Print Magazine,Lifestyle & Communities Magazines,11 ratings,11 ,10,33,3,,,
61e9fe5f-6b39-41d2-960f-1f545c7f08d0,New York Review Of Books,New York Review of Books,Print Magazine,Africa Travel Magazines,396 ratings,396 ,24,23,4,,,
520f66a7-a92d-4eec-ac3a-c10167ea479b,Architectural Record,"BNP Media II, LLC",Print Magazine,Architecture Magazines,28 ratings,28 ,17,22,3,,,
bb5a9a4b-7ec8-477b-a1c2-255e656e1225,New York Times Book Review,New York Times,Print Magazine,Africa Travel Magazines,321 ratings,321 ,14,23,4,,,
6d845208-6224-4bcb-a57d-6548561fc5ce,Rachael Ray In Season,Meredith Corporation,Print Magazine,NA,0 ratings,0 ,20,2,2,,,
23f48f9f-817a-471f-8c3b-bce5300c2218,Diver Magazine,Seagraphic Publications Ltd,Print Magazine,Water Sports Magazines,11 ratings,11 ,27,22,3,,,
cb7feaae-cd71-4c23-84f9-323fb87a29c5,Marlin,Bonnier Corporation,Print Magazine,Hunting & Firearms Magazines,13 ratings,13 ,19,28,3,,,
241012a9-8bc9-47dc-83db-36132afcf726,Cryptograms Special,Kappa Publishers Group,Print Magazine,Movie Magazines,33 ratings,33 ,22,15,3,,,
7d23e669-d704-405e-8ac4-a1bcb48a87c5,Entertain Decorate Celebrate,Hoffman Media Inc,Print Magazine,Recipes & Techniques Magazines,2 ratings,2 ,17,30,2,,,
6b14cc9f-30e8-4238-815e-0fa9037f99b4,Humpty Dumpty Magazine,Children's Better Health Institute,Print Magazine,Teaching Aids Magazines,44 ratings,44 ,34,23,3,,,
95eaae6b-426d-4c35-b91c-5e910935ae43,Professional Photographer,Prof Photographers of America,Print Magazine,Photography Magazines,38 ratings,38 ,29,21,3,,,
45af2dfc-482e-4785-988a-69aefcf32725,Imbibe,Imbibe Media Inc,Print Magazine,Wine & Spirits (Magazine Subscriptions),47 ratings,47 ,16,39,3,,,
c0908929-d2dc-44db-a6a7-74bc0440c63c,Grassroots Motorsports,"Motorsport Marketing, Inc.",Print Magazine,Truck Magazines,60 ratings,60 ,26,15,3,,,
1f1dea36-0080-4965-b3b3-116c91d729b5,Dell Word Search Puzzles,Penny Press,Print Magazine,Performing Arts Magazines,19 ratings,19 ,11,25,3,,,
129532ad-dc89-46ed-9a0b-70da0ce3151c,Midwest Outdoors,Midwest Outdoors,Print Magazine,Hunting & Firearms Magazines,38 ratings,38 ,16,28,3,,,
79c8726f-d513-4201-8d06-69e75c240778,Domino Magazine - 2 Year,Multiply Media LLC,Print Magazine,Home Decorating Magazines,2 ratings,2 ,18,25,2,,,
abf0af7c-fc0d-43da-bb92-b99006fb97e0,Crochet!,Annies Publishing,Print Magazine,NA,215 ratings,215 ,17,2,4,,,
cb790836-5c8f-4473-b6b0-5e70401dc893,Auto Restorer,Lumina Media,Print Magazine,Motorcycle Magazines,7 ratings,7 ,12,20,2,,,
a31e0418-ce45-4197-88fb-49f53fe4bbe2,American Art Collector,International Artist Publ Inc,Print Magazine,Antiques & Collectibles Magazines,38 ratings,38 ,29,33,3,,,
bc9efed4-56a0-4cbb-a9dd-d7a55406b167,Kmt,Kmt Communications,Print Magazine,Science & Nature Essays & Commentary Magazines,12 ratings,12 ,18,46,3,,,
42da3cfb-5e0f-425a-8326-4f8cd5292ece,Flying,Bonnier Corporation,Print Magazine,Flying Magazines,25 ratings,25 ,19,16,3,,,
3b2d1879-2822-4e55-9e68-bede14b16096,Black and White Photography,Gmc Publications Ltd,Print Magazine,Europe Travel Magazines,3 ratings,3 ,20,23,2,,,
e43f2750-dcf3-4fc6-b896-bd37ff32f0b7,Sports Collectors Digest (1-year auto-renewal),Active Interest Media,Print Magazine,Sports & Recreation Magazines,50 ratings,50 ,21,29,3,,,
57743ad4-bcea-43b4-82e2-fbad43a5bbaf,Cowgirl Magazine,Cowgirl Magazine,Print Magazine,Lifestyle & Communities Magazines,31 ratings,31 ,16,33,3,,,
048b98b7-4f2a-4ec7-b9b5-cd7c17cfdf43,Permaculture Magazine,Permanent Publications,Print Magazine,Sustainable Living Magazines,11 ratings,11 ,22,28,3,,,
e8fe6275-d04b-4f33-81a6-be15a10e74fb,Florida Design,Palm Beach Media Group,Print Magazine,South America Travel Magazines,43 ratings,43 ,22,30,3,,,
c4c1441a-98e0-417e-882b-8aff23d9b59b,Westchester,Today Media,Print Magazine,Northeastern United States Travel,7 ratings,7 ,11,33,2,,,
aa206f88-2849-4ae8-97d4-7f33c6d3c58e,Just Labs,Village Press,Print Magazine,Pets & Animals Magazines,44 ratings,44 ,13,24,3,,,
b934889b-ee50-4cf2-82b9-9b128277a810,Prevention,Hearst Magazines,Kindle Edition,Health eMagazines,"3,160 ratings","3,160 ",16,17,6,,,
71236183-eb3c-4f8f-bb26-495fd2344f8f,Relix Magazine,Relix Magazine Inc,Print Magazine,Music Magazines,12 ratings,12 ,18,15,3,,,
07e8b56c-d312-4087-aa94-7fda9efdc187,France Today,France Media Ltd,Print Magazine,Lifestyle & Communities Magazines,8 ratings,8 ,16,33,2,,,
53c75d12-40b1-41a1-a849-a0622d38746b,Brio,Focus on the Family,Print Magazine,NA,1 rating,1,19,2,1,,,
e3b28559-fe8c-460c-a8f7-781952281bda,Atlanta Magazine,Hour Media Llc,Print Magazine,Southern United States Travel,41 ratings,41 ,14,29,3,,,
3a155a0c-bad3-4167-85cb-7ce6379490dc,What Doctors Dont Tell You,Wddty Publishing Ltd,Print Magazine,NA,0 ratings,0 ,20,2,2,,,
d6023bfd-4ad6-4333-8977-cea8f6a225c7,Natural History,Natural History Magazine Inc,Print Magazine,Nature & Ecology Magazines,19 ratings,19 ,28,26,3,,,
777951db-fd17-4a7e-a0aa-503fd24010cb,Skynews,Skynews Inc,Print Magazine,Lifestyle & Communities Magazines,13 ratings,13 ,11,33,3,,,
f2a361e0-b518-4358-922d-45c5a5b3477e,Foreign Affairs,Council on Foreign Relations,Kindle Edition,Business & Investing eMagazines,501 ratings,501 ,28,31,4,,,
63214ff3-f30c-44fc-b159-69c51c589a92,Fine Books & Collections,Fine Books & Collections,Print Magazine,Science Fiction & Fantasy Magazines,4 ratings,4 ,24,35,2,,,
0107e556-4a15-4543-b1ea-90247123b9bd,Southern Boating,Southern Boating & Yachting Publications,Print Magazine,Baseball Magazines,8 ratings,8 ,40,18,2,,,
26a454a1-e5af-42ce-af6c-3cfd4e785af1,Food Network Magazine,Hearst Magazines,Kindle Edition,"Cooking, Food & Wine eMagazines","8,806 ratings","8,806 ",16,31,6,,,
108e0a84-4c1e-492c-81bb-51d518c61a9a,Good Old Boat,Good Old Boat Inc,Print Magazine,Water Sports Magazines,32 ratings,32 ,17,22,3,,,
57df67b0-4ca3-4381-97b4-692366630c39,Private Eye - England,Pressdram Ltd,Print Magazine,Europe Travel Magazines,7 ratings,7 ,13,23,2,,,
66c821b8-431e-4139-ad10-26933ae5d250,Pilot Getaways,Pilot Getaways,Print Magazine,Flying Magazines,4 ratings,4 ,14,16,2,,,
57a13d8d-b5b3-4082-98cd-8fa8fd0a7318,The Week Junior - 6 Month Auto Renew,Week Publications Inc,Print Magazine,NA,1 rating,1,21,2,1,,,
3616b2cf-cb57-4539-b4d2-688fcc960bc9,Utah Style & Design,Jes Publishing,Print Magazine,Western United States Travel,1 rating,1,14,28,1,,,
b07ea8bd-cfde-4af6-b73c-3b9594d57086,Goldmine,Active Interest Media,Print Magazine,Music Magazines,52 ratings,52 ,21,15,3,,,
5a4037b5-4139-4fe4-ad93-9e7744a640f1,France Amerique,France Amerique Llc,Print Magazine,Lifestyle & Communities Magazines,6 ratings,6 ,19,33,2,,,
020bb8ac-ed31-4309-a981-6aef0ef6bbc5,Playboy - German Edition,Heinrich Bauer Verlag,Print Magazine,NA,1 rating,1,21,2,1,,,
38c3b3d4-cc1b-4efe-9f1d-3b1c04d519c6,Reiki News Magazine,Vision Publications,Print Magazine,Islam Magazines,77 ratings,77 ,19,15,3,,,
3d5e6025-2ad7-44fd-90ff-20878169daee,Railroad Model Craftsman,White River Productions,Print Magazine,NA,25 ratings,25 ,23,2,3,,,
e5b4a63b-8a6b-4b70-b828-5b5cb772fc95,Atv Utv Action,Hi-Torque Publications,Print Magazine,Motorcycle Magazines,44 ratings,44 ,22,20,3,,,
6f88dd65-bbef-473d-bcd4-e349819cb131,Herbalgram : Quarterly Journal of the American Botanical Cou,American Botanical Council,Print Magazine,Chemistry Magazines,0 ratings,0 ,26,19,2,,,
7a2f6848-c9ab-4445-be8b-5e23a8822357,Znanie-Sila,East View Information Svcs Inc,Print Magazine,Chemistry Magazines,1 rating,1,30,19,1,,,
0229cb0e-47c3-40ba-a77d-472d04374d69,Buddhism Today,Buddhism Today,Print Magazine,Hinduism Magazines,6 ratings,6 ,14,18,2,,,
1052a806-0879-4189-80aa-6b922e74801c,Maine Antique Digest,Maine Antique Digest,Print Magazine,Northeastern United States Travel,9 ratings,9 ,20,33,2,,,
a0af6fdd-eb25-40b9-9c5d-a5020c50f1dd,Kitchen & Bath Design News,Sola Group Inc,Print Magazine,Farming Magazines,1 rating,1,14,17,1,,,
130b3e13-dd7b-4bf1-86d0-d432cc56f857,Galerie,Hudson Publishing LLC,Print Magazine,Home Decorating Magazines,6 ratings,6 ,21,25,2,,,
dd7a3ef5-178a-428c-a4d9-28435d834362,World of Archie Comics Digest,Archie Comic Publications,Print Magazine,Lifestyle & Communities Magazines,5 ratings,5 ,25,33,2,,,
a72cfaf8-de3c-4a71-b7c7-4994289e5491,Louisiana Sportsman,Louisiana Publications Inc.,Print Magazine,Southern United States Travel,12 ratings,12 ,27,29,3,,,
54c86ab6-d6d5-459b-bdc1-893c7d2c495f,Lustiges Taschenbuch Ltb,Egmont Ehapa Media Gmbh,Print Magazine,NA,3 ratings,3 ,23,2,2,,,
9d422749-f665-4f7c-a642-ae950bdd2d41,Elle,Hearst,Print Magazine,Women's Fashion Magazines,27 ratings,27 ,6,25,3,,,
da9a53c3-b73d-44f9-a476-bde8e601adca,GAME & FISH EAST,Outdoor Sportsman Group - Integrated Media,Print Magazine,Hunting & Firearms Magazines,15 ratings,15 ,42,28,3,,,
5655c132-0895-4643-98ab-e034c2a21a85,Ships Monthly,Kelsey Publishing Ltd,Print Magazine,Baseball Magazines,12 ratings,12 ,21,18,3,,,
62092368-9f8a-42a0-927e-a49fe0ff5f69,Watching Backyard Birds Newsletter,Pardson Inc,Print Magazine,Pets & Animals Magazines,52 ratings,52 ,11,24,3,,,
7238df5d-e93d-49bf-b9ad-388397651eff,Freeskier,Storm Mountain Publishing,Print Magazine,Skiing & Snowboarding Magazines,6 ratings,6 ,25,31,2,,,
7897f9c7-90b7-4c03-85dd-d351ba3b7cd2,Dogster,I-5 Publishing,Print Magazine,Pets & Animals Magazines,12 ratings,12 ,14,24,3,,,
6e09cd6e-0941-46df-984e-8f18df0d5fd9,Blaze Magazine,Dt Publishing Group,Print Magazine,Europe Travel Magazines,12 ratings,12 ,19,23,3,,,
5ca9a028-4b90-49f1-87ec-8dd0a8f12037,UltraRunning Magazine,UltraRunning Media Group,Print Magazine,Lifestyle & Communities Magazines,22 ratings,22 ,24,33,3,,,
476f0532-e995-4d46-b02f-f119a8dccc09,Old House Journal,Active Interest Media,Print Magazine,Farming Magazines,137 ratings,137 ,21,17,4,,,
f48fba26-6872-44da-8a6b-86b71371aaef,Machine Knitting Monthly,Rpa Publishing,Print Magazine,Lifestyle & Communities Magazines,7 ratings,7 ,14,33,2,,,
ab3b8f9a-2924-4998-a2d3-7df7e2d6e0e4,Fine Art Connoisseur : the Premier Magazine for Informed Col,Streamline Media,Print Magazine,Lifestyle & Communities Magazines,14 ratings,14 ,16,33,3,,,
f078e4c4-c1c8-4015-9191-fa31110d1b46,Coin World : Weekly News Resource,Amos Hobby Publishing,Print Magazine,Antiques & Collectibles Magazines,39 ratings,39 ,21,33,3,,,
6db4d2d7-41e3-4bf1-a3e6-4c6abe0e535b,Communication Arts,Communication Arts,Print Magazine,Lifestyle & Communities Magazines,19 ratings,19 ,18,33,3,,,
fc42b6b0-3171-443c-8b56-8bbd458d9072,The Flyfish Journal,Funny Feelings Inc,Print Magazine,Pets & Animals Magazines,2 ratings,2 ,18,24,2,,,
9d232530-3946-4fe9-9173-66de7e58b317,Superb Crosswords Jumbo,Kappa Publishers Group,Print Magazine,Movie Magazines,22 ratings,22 ,22,15,3,,,
20652496-cf2b-4c3c-a08f-8865ae186588,Interior Design,Sandow Media Corporation,Print Magazine,Antiques & Collectibles Magazines,16 ratings,16 ,24,33,3,,,
2b410895-70c6-4b80-bde8-4ba7c81c3d3d,Magnificat - Spanish ed,Magnificat,Print Magazine,Hinduism Magazines,9 ratings,9 ,10,18,2,,,
f0fff81d-18b9-4d6e-8f25-09157046d666,Dirt Wheels,Hi-Torque Publications,Print Magazine,Motorcycle Magazines,42 ratings,42 ,22,20,3,,,
1f4bdcac-de29-4ffb-b09f-4fe7ffd4eafd,Delaware Today,Today Media,Print Magazine,Ideas & Commentary Magazines,13 ratings,13 ,11,28,3,,,
a4946ab1-883e-4fa6-a70a-29129e0f8799,Southwest Fly Fishing,"Northwest Fly Fishing, LLC",Print Magazine,Hunting & Firearms Magazines,14 ratings,14 ,26,28,3,,,
79efaaa9-e8c8-478e-aba8-1317b5f931ce,Sailing Today,Chelsea Magazine Company Ltd,Print Magazine,NA,3 ratings,3 ,28,2,2,,,
058f2f56-280c-4a69-a66f-ef74cf4e5a16,Hortus : a Gardening Journal,Bryansground Press,Print Magazine,Farming Magazines,2 ratings,2 ,18,17,2,,,
19539133-5d78-4c4a-890d-bb621497c1c8,Family Handyman,"Trusted Media Brands, Inc.",Kindle Edition,How-to & Home Improvements eMagazines,"17,378 ratings","17,378 ",26,37,7,,,
26839d7a-78e4-442d-a160-3eabf171aa48,Magnifikid!,Magnificat,Print Magazine,Education Magazines,57 ratings,57 ,10,19,3,,,
60a969f4-e524-4af0-89ce-a9fa95f93c35,Journal of Cold War Studies,Mass Inst of Technology Press,Print Magazine,History Trade Journals,1 rating,1,29,22,1,,,
2e351284-1725-4cfc-be40-77f0da66b8af,Give Us This Day,Liturgical Press,Print Magazine,Hinduism Magazines,63 ratings,63 ,16,18,3,,,
9f9a8f26-1ba2-4872-b30f-4447840f062e,Toronto Life,St Joseph Media,Print Magazine,South America Travel Magazines,0 ratings,0 ,15,30,2,,,
e7320d53-e190-4e61-9ba3-511e2b9222b1,Cape Cod Life,Cape Cod Life,Print Magazine,Other Eastern Religions Magazines,10 ratings,10 ,13,33,3,,,
cf1ac4ac-5d1b-476f-88e7-11811752b079,2600 Magazine: The Hacker Quarterly,2600 Enterprises,Kindle Edition,Computers & Internet eMagazines,677 ratings,677 ,16,31,4,,,
54028d05-a60e-4ca5-a61d-0634c336f83b,Daily Word - Spanish ed,Unity School of Christianity,Print Magazine,Europe Travel Magazines,6 ratings,6 ,28,23,2,,,
fc126a59-a198-47c4-b877-6895b3a5d52f,Joy of Kosher With Jamie Geller,Kosher Media Network Llc,Print Magazine,Special Diets Magazines,5 ratings,5 ,24,23,2,,,
9815159a-3c57-4cb6-8696-c622346a831a,Cleveland Magazine,Great Lakes Publishing,Print Magazine,Midwestern United States Travel,22 ratings,22 ,22,31,3,,,
838b783b-bfe8-4b05-b344-d88903252cf2,Acoustic Guitar,String Letter Publishers,Print Magazine,Computers & Internet Magazines,41 ratings,41 ,24,30,3,,,
985b0294-477e-473d-ac50-a209b5121489,Prog,Team Rock Limited,Print Magazine,Movie Magazines,63 ratings,63 ,17,15,3,,,
2055a01b-6344-49d4-b9da-4da07a4d5fca,Banknote Reporter (1-year),Active Interest Media,Print Magazine,Banking Magazines,33 ratings,33 ,21,17,3,,,
d6915d29-ed21-4741-9f5e-2d370f104b37,Machinists Workshop,Village Press,Print Magazine,NA,24 ratings,24 ,13,2,3,,,
88fd88b1-08a7-474b-8e75-398ece7b947e,History Today,History Today Limited,Print Magazine,Science & Nature Essays & Commentary Magazines,6 ratings,6 ,21,46,2,,,
a1d77d62-db12-42b5-981b-7cc78271fdeb,Star Wars Insider,Titan Publishing,Print Magazine,Mystery Magazines,47 ratings,47 ,16,17,3,,,
747e206b-7d73-4bee-88de-913d613c82c6,MIT Technology Review,MIT Technology Review,Kindle Edition,"Science, History & Nature eMagazines",412 ratings,412 ,21,36,4,,,
b3538fc3-0a7d-416c-8737-5b88396979b4,Charisma,Charisma Media,Print Magazine,Occult Magazines,44 ratings,44 ,14,16,3,,,
b5df9621-91fb-47d9-b63b-49ab77516e8a,Military History Matters,Current Publishing Ltd,Print Magazine,NA,0 ratings,0 ,22,2,2,,,
b20f294c-86d3-4caf-b3c6-73cb4fd65a39,Womans World - Nj - 6 Month Subscription Auto Renew,Bauer Publishing,Print Magazine,Women's Health & Fitness Magazines,11 ratings,11 ,16,34,3,,,
8513fe3b-a5a0-46e2-ab14-1f8e1ecf5e9d,Tufts University Health & Nutrition Letter,Belvoir Publs Inc,Print Magazine,Alternative Medicine Magazines,26 ratings,26 ,17,30,3,,,
50f4c8ef-fc0d-407e-b39d-062eef9332bc,The Word Among Us Catholic Mass Edition,The Word Among Us,Kindle Edition,Religion & Spirituality eMagazines,"1,020 ratings","1,020 ",17,34,6,,,
4f44f6a4-3061-4fa9-bfee-1fe0f0a16309,American Handgunner,Publishers Development Corp,Print Magazine,NA,129 ratings,129 ,27,2,4,,,
c21f3d04-45ed-4d36-9d53-1dfefc2ae1c4,Harvard Business Review,Harvard Business School Publishing,Kindle Edition,Parenting & Families eMagazines,465 ratings,465 ,34,31,4,,,
3a4b3b33-d561-4c3f-9c1f-27e821c01c75,Widescreen Review,Widescreen Review,Print Magazine,Humor Magazines,5 ratings,5 ,17,15,2,,,
0dfb5a47-731b-4871-8904-fa0fffd840a3,San Diego Magazine,San Diego Magazine LLC,Print Magazine,Midwestern United States Travel,16 ratings,16 ,22,31,3,,,
b43608cf-5b46-46c6-b76a-967e78a8076d,Heavy Metal - Option a,Heavy Metal,Print Magazine,NA,44 ratings,44 ,11,2,3,,,
97ec9239-ab19-450b-ab22-255674147d8b,Colorado Outdoors,Colorado Dept of Natural Resources,Print Magazine,NA,16 ratings,16 ,34,2,3,,,
b5f6a6f3-e435-46f4-b759-cbe309771d4f,Der Spiegel,Rudolf Augstein Vlg Gmbh Co Kg,Print Magazine,Lifestyle & Communities Magazines,4 ratings,4 ,30,33,2,,,
b1d30aa1-e62d-45a0-8bc0-652097ed70e7,Love Magazine,Conde Nast Publications Ltd,Print Magazine,NA,4 ratings,4 ,27,2,2,,,
16cff672-06d0-41fc-8800-20ee77ef5105,Men's Health,Hearst Magazines,Kindle Edition,Men's Fitness eMagazines,"5,237 ratings","5,237 ",16,24,6,,,
bc66313a-d3b7-4f37-b4b2-a51eb6936106,PC Gamer,Future Publishing Ltd,Print Magazine,Lifestyle & Communities Magazines,173 ratings,173 ,21,33,4,,,
339c1ba8-3802-4e49-b72e-3ed2e0351e45,Globe,"a360 Media, LLC",Print Magazine,NA,2 ratings,2 ,15,2,2,,,
c7eb0277-2213-4f15-a458-ea47b01f6246,Burda Moden - Russian Edition,Verlag Aenne Burda,Print Magazine,International Fashion Magazines,7 ratings,7 ,18,31,2,,,
5a5e141c-72e4-402f-8f9f-1cd1e2276cd4,New Scientist - Us Edition,New Scientist Ltd,Print Magazine,Chemistry Magazines,80 ratings,80 ,17,19,3,,,
e6688218-0850-4024-8506-c51645b793f1,Hockey News,Roustan Media Ltd,Print Magazine,Hockey Magazines,72 ratings,72 ,17,16,3,,,
bc88100f-07fb-45b2-8b8e-63db812b1a8c,Indianapolis Monthly,Emmis Publishing,Print Magazine,Midwestern United States Travel,17 ratings,17 ,16,31,3,,,
2ebc42c6-574f-4888-8eb8-a760c7ddcae4,Technical Analysis of Stocks & Commodities,Technical Analysis Inc,Print Magazine,Career Magazines,9 ratings,9 ,22,16,2,,,
3d4b0ad1-2f8f-4265-9e30-1f31d1f15eb4,"Maine Boats, Homes & Harbors","Infonet Systems, Inc.",Print Magazine,Boating Magazines,6 ratings,6 ,21,17,2,,,
392efd4f-0f02-4654-9787-f0391418e78c,Fast Bikes,Future Publishing Ltd,Print Magazine,Europe Travel Magazines,2 ratings,2 ,21,23,2,,,
aa71361b-b310-4c27-bf84-00175ee70622,Jack & Jill,Children's Better Health Institute,Print Magazine,Teaching Aids Magazines,43 ratings,43 ,34,23,3,,,
dc9e486a-c8ca-47e9-aa9d-3654944ad149,Burda Plus - German ed,Verlag Aenne Burda,Print Magazine,NA,1 rating,1,18,2,1,,,
e830d355-a06a-46df-98af-b25a16846b4c,Women's Health,Hearst Magazines,Kindle Edition,Women's Fitness eMagazines,"2,811 ratings","2,811 ",16,26,6,,,
2ec7e2f4-838f-4d77-b96d-867b99de46d0,Sports Afield,Field Sports Publishing,Print Magazine,Hunting & Firearms Magazines,17 ratings,17 ,23,28,3,,,
8697af05-02dc-4095-8a98-7b72b25eb74b,CatWatch,"Belvoir Publications, Inc.",Print Magazine,Pets & Animals Magazines,47 ratings,47 ,26,24,3,,,
5d2c3027-b934-4b64-8458-64a371602c94,Elle Decoration - British Edition,Hearst Mag UK/ House of Hearst,Print Magazine,Antiques & Collectibles Magazines,32 ratings,32 ,30,33,3,,,
2a630425-90c0-4f61-b726-1d2832ab0ae1,Home Shop Machinist,Village Press,Print Magazine,Career Magazines,35 ratings,35 ,13,16,3,,,
4e6d347e-3549-4059-8036-3a3f138f6ae8,Sedona Journal of Emergence,Sedona Journal of Emergence,Print Magazine,Occult Magazines,10 ratings,10 ,27,16,3,,,
cbf97a00-a7ea-4fbd-bcea-1a12dd173472,Opera News,Metropolitan Opera Guild,Print Magazine,Performing Arts Magazines,56 ratings,56 ,24,25,3,,,
3af8ab66-9c87-4820-8a0d-7bb4ae039860,Bien Dire - Print + Audio CD,Editions Entrefilet,Print Magazine,Teen Magazines,9 ratings,9 ,19,14,2,,,
9e127423-3865-482d-9787-c19a48d3c68e,The New Yorker,Cond‹¨« Nast,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines","3,286 ratings","3,286 ",12,37,6,,,
b25fc32f-817e-4b79-a4f5-a0beea32a7af,Classic Trains,Kalmbach Publ Co,Print Magazine,Lifestyle & Communities Magazines,44 ratings,44 ,16,33,3,,,
3c9f15c0-35b8-4f12-b38e-785eb3144894,Star Trek,Titan Publishing,Print Magazine,Movie Magazines,4 ratings,4 ,16,15,2,,,
1a4499b8-79a1-47ca-a782-5b7be2132e27,Mojo,Bauer Consumer Media Ltd,Print Magazine,Music Magazines,44 ratings,44 ,24,15,3,,,
341a76fa-eefa-4d1c-a4dd-79a6a8dd3c25,Collectors Crosswords,Kappa Publishers Group,Print Magazine,Movie Magazines,41 ratings,41 ,22,15,3,,,
713bd423-8e04-4868-a7ec-019b6ddd0829,Naval History Magazine,U S Naval Institute,Print Magazine,Science & Nature Essays & Commentary Magazines,17 ratings,17 ,19,46,3,,,
a8c93a12-c692-4a07-8c50-6b005bc7d920,Focus on the Family Clubhouse Jr,Focus on the Family,Print Magazine,Teen Magazines,0 ratings,0 ,19,14,2,,,
d9696e6b-f527-4972-89a9-c3ca8222ac16,Maine Magazine,State 23 Media,Print Magazine,Midwestern United States Travel,8 ratings,8 ,14,31,2,,,
c09c9b2e-0d16-4f62-b503-8fcd17c37c0a,Pittsburgh Magazine,"Wiesner Media, LLC",Print Magazine,Midwestern United States Travel,17 ratings,17 ,18,31,3,,,
b82a8a59-7a20-430d-ad2b-db4a5710cb06,How It Works,Future Publishing Ltd,Print Magazine,NA,73 ratings,73 ,21,2,3,,,
75845642-d983-4d93-b083-b4bf32aa8c31,Focus on the Family Clubhouse,Focus on the Family,Print Magazine,Parenting & Family Magazines,19 ratings,19 ,19,28,3,,,
aa2ec3e2-2899-4827-93e7-91ca0a731c8a,Heirloom Gardener,Ogden Publications Inc,Print Magazine,Farming Magazines,16 ratings,16 ,22,17,3,,,
6dc51fa6-fa30-46e9-93ce-f4946888e678,Motorcyclist (2-year),Bonnier Corporation,Print Magazine,NA,0 ratings,0 ,19,2,2,,,
8469af4f-120f-43e9-b8f6-0a7addada34c,Reader's Digest,"Trusted Media Brands, Inc.",Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines","13,680 ratings","13,680 ",26,37,7,,,
48df58e1-842e-4610-b583-63db4145e190,All About Space,Future Publishing Ltd,Print Magazine,Chemistry Magazines,40 ratings,40 ,21,19,3,,,
9eb39439-2421-41b8-9052-4ca58c8fde89,Ancient American,Ancient American,Print Magazine,Art & Art History Magazines,16 ratings,16 ,16,27,3,,,
99e5dbca-5ff1-459f-bbb3-21fba0eee34e,Buddhadharma,Lions Roar,Print Magazine,Hinduism Magazines,28 ratings,28 ,10,18,3,,,
9a67ee7a-5537-43f7-94ee-48227b073d32,OUT,Here Publishing Inc,Print Magazine,LGBT Magazines,62 ratings,62 ,19,14,3,,,
6db202db-1a09-4e0b-997f-5e9486625481,Newsweek,Newsweek Publishing LLC,Kindle Edition,News & Political Commentary eMagazines,274 ratings,274 ,23,38,4,,,
7f8c4807-88b9-497a-8a5f-cc462b659f79,HGTV Magazine,Hearst Magazines,Kindle Edition,Interior Design eMagazines,"7,173 ratings","7,173 ",16,26,6,,,
68a3ff3d-c7ce-456b-b5d8-9751afabc92b,Dolls Magazine,JP Media LLC,Print Magazine,Graphic Design Magazines,10 ratings,10 ,12,24,3,,,
80fccda7-c087-4c27-96a6-17d964b634f6,Chopchop Magazine,Chopchop Magazine,Print Magazine,Recipes & Techniques Magazines,13 ratings,13 ,17,30,3,,,
66c6ba96-ba06-410d-a884-ee9ec93988d2,Quilters World,Annies Publishing,Print Magazine,NA,110 ratings,110 ,17,2,4,,,
9b9c662d-cb0a-413e-848e-6d1185271a18,Railfan & Railroad,White River Productions,Print Magazine,NA,11 ratings,11 ,23,2,3,,,
d5e7b4c0-d896-485e-830f-22fbd989eb60,Racer X Illustrated,Filter Publications,Print Magazine,Baseball Magazines,27 ratings,27 ,19,18,3,,,
18848b56-abbe-4cf6-8942-002766cf03df,Smithsonian Magazine,Smithsonian,Kindle Edition,Pop Culture eMagazines,"1,978 ratings","1,978 ",11,22,6,,,
0ecce2ac-61ce-494d-a2aa-ee6df69badf8,TV Guide Magazine,TV Guide Magazine LLC,Kindle Edition,Television eMagazines,"3,368 ratings","3,368 ",21,21,6,,,
cd68afed-922e-43d8-8eb5-feb022e97f95,World,World Magazine Inc,Print Magazine,Occult Magazines,31 ratings,31 ,18,16,3,,,
cce2457c-05b9-4b34-8319-981e9ddf0172,EatingWell,Meredith Corporation,Kindle Edition,"Health, Fitness & Wellness eMagazines","6,118 ratings","6,118 ",20,37,6,,,
f78e9362-631f-4138-9a5a-432738e05936,The New York Review of Books,The New York Review of Books,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines",396 ratings,396 ,28,37,4,,,
426b7645-e478-4f0f-a00b-3768d3f9c557,Civil War Monitor,Bayshore History Llc,Print Magazine,History Magazines,27 ratings,27 ,20,17,3,,,
bb269576-e761-4163-b394-7ee8db2135d8,Adirondack Life,Adirondack Life Inc,Print Magazine,Nature & Ecology Magazines,34 ratings,34 ,19,26,3,,,
76e7a749-abb1-4286-b458-706a989833d4,Answers,Aig - United States,Print Magazine,Occult Magazines,27 ratings,27 ,19,16,3,,,
04fab1c4-0514-43d7-94ee-6f411cd1144f,Military Vehicles,Active Interest Media,Print Magazine,Automotive Magazines,23 ratings,23 ,21,20,3,,,
69d6af21-655f-48df-98d9-2d3b73171ce6,GAME & FISH SOUTH,Outdoor Sportsman Group - Integrated Media,Print Magazine,Southern United States Travel,13 ratings,13 ,42,29,3,,,
